model,train_accuracy,test_accuracy,train_balanced_acc,test_balanced_acc,train_f1,test_f1
Logistic Regression,0.7262009695901278,0.729876615746181,0.7262022395328405,0.7298955538427057,0.7261707988980717,0.7299162872668526
Random Forest,1.0,0.7642479435957696,1.0,0.7641811759062607,1.0,0.764178294351969
XGBoost,0.8640002938151903,0.7911280846063454,0.8640412195039269,0.7909658876766894,0.863863532085108,0.7908505475360876
